Nom Com,Code Iris,Classement de SCORE GLOBAL region 1,Nom Iris,Population,SCORE GLOBAL ,ACCÈS AUX INTERFACES NUMERIQUES,ACCES A L'INFORMATION,COMPETENCES ADMINISTATIVES,COMPÉTENCES NUMÉRIQUES / SCOLAIRES,GLOBAL ACCES,GLOBAL COMPETENCES,,DEPARTEMENTS,SCORE GLOBAL ,ACCÈS AUX INTERFACES NUMERIQUES,ACCES A L'INFORMATION,COMPETENCES ADMINISTATIVES,COMPÉTENCES NUMÉRIQUES / SCOLAIRES,GLOBAL ACCES,GLOBAL COMPETENCES,REGIONS,SCORE GLOBAL ,ACCÈS AUX INTERFACES NUMERIQUES,ACCES A L'INFORMATION,COMPETENCES ADMINISTATIVES,COMPÉTENCES NUMÉRIQUES / SCOLAIRES,GLOBAL ACCES,GLOBAL COMPETENCES
Abergement-lès-Thésy,390040000,48 387,Abergement-lès-Thésy,63,58,0,33,97,93,22,94,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abidos,640030000,36 715,Abidos,232,81,101,80,88,68,87,75,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abilly,370010000,21 696,Abilly,1 151,94,94,63,78,133,73,114,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abitain,640040000,46 306,Abitain,97,68,0,90,70,79,60,76,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abjat-sur-Bandiat,240010000,20 013,Abjat-sur-Bandiat,617,95,86,67,53,149,73,117,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Ablaincourt-Pressoir,800020000,16 156,Ablaincourt-Pressoir,269,99,101,88,87,116,93,106,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Ablain-Saint-Nazaire,620010000,21 730,Ablain-Saint-Nazaire,1 784,94,121,76,67,112,91,97,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Ablainzevelle,620020000,48 527,Ablainzevelle,216,57,108,27,68,55,54,59,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Ablancourt,510010000,31 795,Ablancourt,162,85,112,53,100,97,72,98,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Ableiges,950020000,42 288,Ableiges,1 149,75,118,47,81,78,71,79,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Ablis,780030000,36 908,Ablis,3 436,81,107,61,81,87,76,85,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Ablon,140010000,34 599,Ablon,1 210,83,106,64,74,94,78,87,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Ablon-sur-Seine,940010000,16 048,Ablon-sur-Seine,5 785,99,98,94,93,108,96,103,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Aboën,420010000,22 787,Aboën,435,93,97,109,80,81,105,81,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Aboncourt,570010000,21 810,Aboncourt,361,94,101,85,109,90,91,97,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Aboncourt,540030000,5 519,Aboncourt,102,116,85,114,81,150,104,127,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
